"product_name","product_description","total_quantity_ordered","total_income_from_product","total_profit"
"1992 Ferrari 360 Spider red","his replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",1808,276840.0,135997.0
"1937 Lincoln Berline","Features opening engine cover, doors, trunk, and fuel filler cap. Color black",1111,102564.0,35215.0
American Airlines: MD-11S,Polished finish. Exact replia with official logos and insignias and retractable wheels,1085,71754.0,32401.0
"1941 Chevrolet Special Deluxe Cabriolet","Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system, leather upholstery. Color black.",1076,102537.0,33049.0
"1930 Buick Marquette Phaeton","Features opening trunk,  working steering system",1074,41599.0,12537.0
"1940s Ford truck","This 1940s Ford Pick-Up truck is re-created in 1:18 scale of original 1940s Ford truck. This antique style metal 1940s Ford Flatbed truck is all hand-assembled. This collectible 1940's Pick-Up truck is painted in classic dark green color, and features rotating wheels.",1061,114233.0,24302.0
"1969 Harley Davidson Ultimate Chopper","This replica features working kickstand, front suspension, gear-shift lever, footbrake lever, drive chain, wheels and steering. All parts are particularly delicate due to their precise scale and require special care and attention.",1057,90158.0,38566.0
"1957 Chevy Pickup","1:12 scale die-cast about 20"" long Hood opens, Rubber wheels",1056,109946.0,51127.0
"1964 Mercedes Tour Bus","Exact replica. 100+ parts. working steering system, original logos",1053,117670.0,38842.0
"1956 Porsche 356A Coupe",Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,1052,134241.0,30829.0
Corsair F4U ( Bird Cage),Has retractable wheels and comes with a stand. Official logos and insignias.,1051,62270.0,31433.0
F/A 18 Hornet 1/72,"10"" Wingspan with retractable landing gears.Comes with pilot",1047,76618.0,19662.0
"1980s Black Hawk Helicopter","1:18 scale replica of actual Army's UH-60L BLACK HAWK Helicopter. 100% hand-assembled. Features rotating rotor blades, propeller blades and rubber wheels.",1040,144960.0,64599.0
"1913 Ford Model T Speedster","This 250 part reproduction includes moving handbrakes, clutch, throttle and foot pedals, squeezable horn, detailed wired engine, removable water, gas, and oil cans, pivoting monocle windshield, all topped with a baked enamel red finish. Each replica comes with an Owners Title and Certificate of Authenticity. Color red.",1038,97194.0,34104.0
"1997 BMW R 1100 S",Detailed scale replica with working suspension and constructed from over 70 parts,1033,105267.0,42398.0
"1972 Alfa Romeo GTA",Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,1030,127924.0,39674.0
"1962 Volkswagen Microbus","This 1:18 scale die cast replica of the 1962 Microbus is loaded with features: A working steering system, opening front doors and tailgate, and famous two-tone factory baked enamel finish, are all topped of by the sliding, real fabric, sunroof.",1029,118774.0,55655.0
"2002 Suzuki XREO","Official logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish.",1028,135767.0,67641.0
The USS Constitution Ship,"All wood with canvas sails. Measures 31 1/2"" Length x 22 3/8"" High x 8 1/4"" Width. Extras include 4 boats on deck, sea sprite on bow, anchors, copper railing, pilot houses, etc.",1020,66697.0,32048.0
"2001 Ferrari Enzo",Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,1019,190756.0,93350.0
"1960 BSA Gold Star DBD34",Detailed scale replica with working suspension and constructed from over 70 parts,1015,67193.0,29314.0
"1997 BMW F650 ST",Features official die-struck logos and baked enamel finish. Comes with stand.,1014,89365.0,21508.0
"1957 Corvette Convertible","1957 die cast Corvette Convertible in Roman Red with white sides and whitewall tires. 1:18 scale quality die-cast with detailed engine and underbvody. Now you can own The Classic Corvette.",1013,130749.0,59910.0
"18th century schooner","All wood with canvas sails. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with 4 masts, all square-rigged.",1011,112427.0,29181.0
"1900s Vintage Tri-Plane",Hand crafted diecast-like metal Triplane is Re-created in about 1:24 scale of antique pioneer airplane. This antique style metal triplane is all hand-assembled with many different parts.,1009,68276.0,31720.0
"1940 Ford Pickup Truck","This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood,  removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box",999,105563.0,47291.0
"1996 Moto Guzzi 1100i","Official Moto Guzzi logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish.",999,109999.0,41078.0
"1926 Ford Fire Engine","Gleaming red handsome appearance. Everything is here the fire hoses, ladder, axes, bells, lanterns, ready to fight any inferno.",998,55835.0,30965.0
"1982 Camaro Z28","Features include opening and closing doors. Color: White. 
Measures approximately 9 1/2"" Long.",997,89273.0,42882.0
"1939 Cadillac Limousine","Features completely detailed interior including Velvet flocked drapes,deluxe wood grain floor, and a wood grain casket with seperate chrome handles",995,44038.0,21014.0
"2002 Yamaha YZR M1","Features rotating wheels , working kick stand. Comes with stand.",992,73671.0,39774.0
"1917 Maxwell Touring Car","Features Gold Trim, Full Size Spare Tire, Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System",992,87638.0,30558.0
"1969 Dodge Charger",Detailed model of the 1969 Dodge Charger. This model includes finely detailed interior and exterior features. Painted in red and white.,992,104211.0,45950.0
"1912 Ford Model T Delivery Wagon","This model features chrome trim and grille, opening hood, opening doors, opening trunk, detailed engine, working steering system. Color white.",991,77240.0,30752.0
"1904 Buick Runabout","Features opening trunk,  working steering system",990,77801.0,25667.0
"1996 Peterbilt 379 Stake Bed with Outrigger","This model features, opening doors, detailed engine, working steering, tinted windows, detailed interior, die-struck logos, removable stakes operating outriggers, detachable second trailer, functioning 360-degree self loader, precision molded resin trailer and trim, baked enamel finish on cab",988,57282.0,24076.0
"1998 Chrysler Plymouth Prowler",Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,986,142531.0,42442.0
"1934 Ford V8 Coupe","Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System",985,55172.0,21337.0
"2003 Harley-Davidson Eagle Drag Bike","Model features, official Harley Davidson logos and insignias, detachable rear wheelie bar, heavy diecast metal with resin parts, authentic multi-color tampo-printed graphics, separate engine drive belts, free-turning front fork, rotating tires and rear racing slick, certificate of authenticity, detailed engine, display stand
, precision diecast replica, baked enamel finish, 1:10 scale model, removable fender, seat and tank cover piece for displaying the superior detail of the v-twin engine",985,170686.0,81031.0
America West Airlines B757-200,Official logos and insignias. Working steering system. Rotating jet engines,984,89348.0,21649.0
"1958 Chevy Corvette Limited Edition","The operating parts of this 1958 Chevy Corvette Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels, working streering, opening doors and trunk. Color dark green.",983,31628.0,15988.0
"1936 Chrysler Airflow","Features opening trunk,  working steering system. Color dark green.",983,88434.0,31951.0
Diamond T620 Semi-Skirted Tanker,This limited edition model is licensed and perfectly scaled for Lionel Trains. The Diamond T620 has been produced in solid precision diecast and painted with a fire baked enamel finish. It comes with a removable tanker and is a perfect model to add authenticity to your static train or car layout or to just have on display.,979,101138.0,34282.0
"1970 Dodge Coronet","1:24 scale die-cast about 18"" long doors open, hood opens and rubber wheels",976,50255.0,18662.0
"1969 Dodge Super Bee","This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",974,68784.0,21009.0
ATA: B757-300,Exact replia with official logos and insignias and retractable wheels,973,102786.0,45058.0
"1958 Setra Bus","Model features 30 windows, skylights & glare resistant glass, working steering system, original logos",972,119085.0,43366.0
"1928 British Royal Navy Airplane",Official logos and insignias,972,94885.0,30014.0
"1948 Porsche 356-A Roadster","This precision die-cast replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",972,66456.0,14065.0
"1928 Ford Phaeton Deluxe","This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system",972,60493.0,28398.0
"1971 Alpine Renault 1600s","This 1971 Alpine Renault 1600s replica Features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",969,52340.0,14956.0
"1962 City of Detroit Streetcar","This streetcar is a joy to see. It has 99 separate windows, electric wire guides, detailed interiors with seats, poles and drivers controls, rolling and turning wheel assemblies, plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston).",966,52124.0,15908.0
"1999 Yamaha Speed Boat","Exact replica. Wood and Metal. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.",966,74127.0,24272.0
"1969 Ford Falcon",Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,965,152543.0,72400.0
"1969 Corvair Monza","1:18 scale die-cast about 10"" long doors open, hood opens, trunk opens and wheels roll",963,132364.0,46522.0
"1952 Alpine Renault 1300",Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,961,190018.0,95283.0
Boeing X-32A JSF,"10"" Wingspan with retractable landing gears.Comes with pilot",960,42693.0,11233.0
"1936 Mercedes-Benz 500K Special Roadster","This 1:18 scale replica is constructed of heavy die-cast metal and has all the features of the original: working doors and rumble seat, independent spring suspension, detailed interior, working steering system, and a bifold hood that reveals an engine so accurate that it even includes the wiring. All this is topped off with a baked enamel finish. Color white.",960,46078.0,22789.0
"1957 Vespa GS150","Features rotating wheels , working kick stand. Comes with stand.",959,54025.0,22426.0
Pont Yacht,"Measures 38 inches Long x 33 3/4 inches High. Includes a stand.
Many extras including rigging, long boats, pilot house, anchors, etc. Comes with 2 masts, all square-rigged",958,47550.0,15649.0
"1932 Model A Ford J-Coupe","This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine",957,109992.0,54027.0
"1954 Greyhound Scenicruiser","Model features bi-level seating, 50 windows, skylights & glare resistant glass, working steering system, original logos",955,46519.0,21708.0
"1938 Cadillac V-16 Presidential Limousine","This 1:24 scale precision die cast replica of the 1938 Cadillac V-16 Presidential Limousine has all the details of the original, from the flags on the front to an opening back seat compartment complete with telephone and rifle. Features factory baked-enamel black finish, hood goddess ornament, working jump seats.",955,38449.0,18767.0
The Titanic,"Completed model measures 19 1/2 inches long, 9 inches high, 3inches wide and is in barn red/black. All wood and metal.",952,84992.0,36355.0
"1949 Jaguar XK 120","Precision-engineered from original Jaguar specification in perfect scale ratio. Features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",949,76670.0,31830.0
"1948 Porsche Type 356 Roadster","This model features working front and rear suspension on accurately replicated and actuating shock absorbers as well as opening engine cover, rear stabilizer flap,  and 4 opening doors.",948,121653.0,62726.0
"1993 Mazda RX-7","This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color red.",947,114648.0,35564.0
"1982 Ducati 900 Monster","Features two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand",947,57995.0,13392.0
"1970 Triumph Spitfire",Features include opening and closing doors. Color: White.,945,122255.0,35390.0
"1936 Harley Davidson El Knucklehead","Intricately detailed with chrome accents and trim, official die-struck logos and baked enamel finish.",945,49993.0,27095.0
"1961 Chevrolet Impala","This 1:18 scale precision die-cast reproduction of the 1961 Chevrolet Impala has all the features-doors, hood and trunk that open; detailed 409 cubic-inch engine; chrome dashboard and stick shift, two-tone interior; working steering system; all topped of with a factory baked-enamel finish.",941,69121.0,38698.0
"1900s Vintage Bi-Plane",Hand crafted diecast-like metal bi-plane is re-created in about 1:24 scale of antique pioneer airplane. All hand-assembled with many different parts. Hand-painted in classic yellow and features correct markings of original airplane.,940,58434.0,26239.0
"1939 Chevrolet Deluxe Coupe","This 1:24 scale die-cast replica of the 1939 Chevrolet Deluxe Coupe has the same classy look as the original. Features opening trunk, hood and doors and a showroom quality baked enamel finish.",937,28053.0,6905.0
The Schooner Bluenose,"All wood with canvas sails. Measures 31 1/2 inches in Length, 22 inches High and 4 3/4 inches Wide. Many extras.
The schooner Bluenose was built in Nova Scotia in 1921 to fish the rough waters off the coast of Newfoundland. Because of the Bluenose racing prowess she became the pride of all Canadians. Still featured on stamps and the Canadian dime, the Bluenose was lost off Haiti in 1946.",934,56455.0,24699.0
"1950's Chicago Surface Lines Streetcar","This streetcar is a joy to see. It has 80 separate windows, electric wire guides, detailed interiors with seats, poles and drivers controls, rolling and turning wheel assemblies, plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston).",934,53792.0,28836.0
"1968 Ford Mustang","Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color dark green.",933,161531.0,72579.0
"1962 LanciaA Delta 16V",Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,932,123123.0,26736.0
"1968 Dodge Charger","1:12 scale model of a 1968 Dodge Charger. Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color black",925,98719.0,29196.0
"1940 Ford Delivery Sedan","Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System. Color black.",923,71208.0,26313.0
"1917 Grand Touring Sedan","This 1:18 scale replica of the 1917 Grand Touring car has all the features you would expect from museum quality reproductions: all four doors and bi-fold hood opening, detailed engine and instrument panel, chrome-look trim, and tufted upholstery, all topped off with a factory baked-enamel finish.",918,140536.0,60945.0
Collectable Wooden Train,"Hand crafted wooden toy train set is in about 1:18 scale, 25 inches in total length including 2 additional carts, of actual vintage train. This antique style wooden toy train model set is all hand-assembled with 100% wood.",918,82617.0,20597.0
P-51-D Mustang,Has retractable wheels and comes with a stand,917,68742.0,23809.0
"1995 Honda Civic","This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color yellow.",917,119051.0,32954.0
"1966 Shelby Cobra 427 S/C",This diecast model of the 1966 Shelby Cobra 427 S/C includes many authentic details and operating parts. The 1:24 scale model of this iconic lighweight sports car from the 1960s comes in silver and it's own display case.,915,42016.0,15316.0
"1976 Ford Gran Torino","Highly detailed 1976 Ford Gran Torino ""Starsky and Hutch"" diecast model. Very well constructed and painted in red and white patterns.",915,121891.0,54647.0
"1965 Aston Martin DB5","Die-cast model of the silver 1965 Aston Martin DB5 in silver. This model includes full wire wheels and doors that open with fully detailed passenger compartment. In 1:18 scale, this model measures approximately 10 inches/20 cm long.",914,101778.0,41491.0
"1982 Lamborghini Diablo","This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",912,30973.0,16162.0
"1980’s GM Manhattan Express","This 1980’s era new look Manhattan express is still active, running from the Bronx to mid-town Manhattan. Has 35 opeining windows and working lights. Needs a battery.",911,78068.0,28938.0
"18th Century Vintage Horse Carriage","Hand crafted diecast-like metal horse carriage is re-created in about 1:18 scale of antique horse carriage. This antique style metal Stagecoach is all hand-assembled with many different parts.

This collectible metal horse carriage is painted in classic Red, and features turning steering wheel and is entirely hand-finished.",907,85329.0,30237.0
"1982 Ducati 996 R","Features rotating wheels , working kick stand. Comes with stand.",906,33269.0,11398.0
"1970 Plymouth Hemi Cuda",Very detailed 1970 Plymouth Cuda model in 1:12 scale. The Cuda is generally accepted as one of the fastest original muscle cars from the 1970s. This model is a reproduction of one of the orginal 652 cars built in 1970. Red color.,900,63490.0,34762.0
"1974 Ducati 350 Mk3 Desmo","This model features two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand",898,84039.0,33634.0
The Mayflower,"Measures 31 1/2 inches Long x 25 1/2 inches High x 10 5/8 inches Wide
All wood with canvas sail. Extras include long boats, rigging, ladders, railing, anchors, side cannons, hand painted, etc.",898,69532.0,30648.0
HMS Bounty,"Measures 30 inches Long x 27 1/2 inches High x 4 3/4 inches Wide. 
Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.",897,73298.0,37571.0
The Queen Mary,"Exact replica. Wood and Metal. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.",896,78919.0,30867.0
American Airlines: B767-300,Exact replia with official logos and insignias and retractable wheels,894,73871.0,28143.0
"2002 Chevy Corvette","The operating parts of this limited edition Diecast 2002 Chevy Corvette 50th Anniversary Pace car Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels, poseable streering, opening doors and trunk.",894,87405.0,31878.0
"1937 Horch 930V Limousine","Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system",884,52804.0,29555.0
"1903 Ford Model A","Features opening trunk,  working steering system",883,111529.0,51220.0
"1928 Mercedes-Benz SSK","This 1:18 replica features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine. Color black.",880,132276.0,68423.0
"1952 Citroen-15CV","Precision crafted hand-assembled 1:18 scale reproduction of the 1952 15CV, with its independent spring suspension, working steering system, opening doors and hood, detailed engine and instrument panel, all topped of with a factory fresh baked enamel finish.",873,94249.0,30677.0
"1969 Chevrolet Camaro Z28","1969 Z/28 Chevy Camaro 1:24 scale replica. The operating parts of this limited edition 1:24 scale diecast model car 1969 Chevy Camaro Z28- hood, trunk, wheels, streering, suspension and doors- are particularly delicate due to their precise scale and require special care and attention.",870,67357.0,23414.0
"1992 Porsche Cayenne Turbo Silver","This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",867,92973.0,32474.0
"1932 Alfa Romeo 8C2300 Spider Sport","This 1:18 scale precision die cast replica features the 6 front headlights of the original, plus a detailed version of the 142 horsepower straight 8 engine, dual spares and their famous comprehensive dashboard. Color black.",866,71526.0,34063.0
"1999 Indy 500 Monte Carlo SS",Features include opening and closing doors. Color: Red,855,100770.0,52240.0
"1911 Ford Town Car","Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system.",832,45307.0,17601.0
"1936 Mercedes Benz 500k Roadster","This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system and rubber wheels. Color black.",824,29763.0,11841.0
"1970 Chevy Chevelle SS 454","This model features rotating wheels, working streering system and opening doors. All parts are particularly delicate due to their precise scale and require special care and attention. It should not be picked up by the doors, roof, hood or trunk.",803,53237.0,13697.0
"1957 Ford Thunderbird","This 1:18 scale precision die-cast replica, with its optional porthole hardtop and factory baked-enamel Thunderbird Bronze finish, is a 100% accurate rendition of this American classic.",767,50102.0,23862.0
